GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
197d7303-619e-4e4b-bd3f-ff73083c07c6,1,ba3bd0d0-2d4d-11f1-8dae-b3d58bc9f52b,08c8b53f-4afe-4f89-84c3-2436909d459c,2026-03-31,18:05:28.20,2026-03-31,22:05:28.20,2026-03-31T18:05:28.2042368-04:00,2026-03-31T22:05:28.2042368Z,APP_MOU,NCA_BUL,BallCalled,Undefined,NoShift,96.86786,55.46829,152.02771,21.4318,75.03006,-52.76264,142.24005,-46.44872,273.97006,-123.4066,313.31421,14.54437,247.40283,144.1113,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,2,c74cd8f0-2d4d-11f1-8dae-b3d58bc9f52b,58ef6e3f-a765-4546-8ab5-40b9511002a1,2026-03-31,18:05:50.04,2026-03-31,22:05:50.04,2026-03-31T18:05:50.0419584-04:00,2026-03-31T22:05:50.0419584Z,APP_MOU,NCA_BUL,BallCalled,Undefined,NoShift,96.68105,57.87273,152.12605,21.86742,76.85989,-55.44429,142.01039,-46.6433,272.94555,-123.25446,312.84495,14.2968,249.64548,144.6922,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,3,d54e5b90-2d4d-11f1-8dae-b3d58bc9f52b,f1c22607-2409-4311-b400-39e7a3e8b3b5,2026-03-31,18:06:13.52,2026-03-31,22:06:13.52,2026-03-31T18:06:13.5204352-04:00,2026-03-31T22:06:13.5204352Z,APP_MOU,NCA_BUL,StrikeCalled,Undefined,NoShift,94.36943,56.35992,152.37312,18.28641,73.35129,-54.15597,141.00631,-46.83567,272.31808,-124.47297,314.03024,13.80188,248.92952,143.77589,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,4,df993ed0-2d4d-11f1-8dae-b3d58bc9f52b,a82892a2-9d19-4495-98aa-22eaa367ee1f,2026-03-31,18:06:30.80,2026-03-31,22:06:30.80,2026-03-31T18:06:30.8072960-04:00,2026-03-31T22:06:30.8072960Z,APP_MOU,NCA_BUL,StrikeCalled,Undefined,NoShift,97.06512,55.27081,152.04194,18.06769,74.31711,-54.42268,141.48061,-47.21376,271.60222,-126.0691,310.37117,14.09022,249.74667,145.35806,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,5,e8fe55f0-2d4d-11f1-8dae-b3d58bc9f52b,f00eda03-91cd-40d8-90fd-890b41e07d4e,2026-03-31,18:06:46.60,2026-03-31,22:06:46.60,2026-03-31T18:06:46.6035200-04:00,2026-03-31T22:06:46.6035200Z,APP_MOU,NCA_BUL,InPlay,Out,NoShift,100.2779,57.06136,153.95123,17.83106,100.83876,-68.9086,141.5456,-46.87479,271.78011,-123.83471,311.17849,14.22431,252.627,147.62522,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,6,fbac2290-2d4d-11f1-8dae-b3d58bc9f52b,f7441bbc-05d9-4239-8e52-4c877671e87a,2026-03-31,18:07:17.89,2026-03-31,22:07:17.89,2026-03-31T18:07:17.8923008-04:00,2026-03-31T22:07:17.8923008Z,APP_MOU,NCA_BUL,BallCalled,Undefined,NoShift,92.32711,71.32303,145.31447,44.0848,101.51881,-67.70139,150.2439,-25.84401,247.81269,-142.16538,323.86282,-19.47918,275.65952,131.80611,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,7,053b2fe0-2d4e-11f1-8dae-b3d58bc9f52b,7e1bb556-6446-4a18-986e-ad10e93eeec0,2026-03-31,18:07:33.95,2026-03-31,22:07:33.95,2026-03-31T18:07:33.9584000-04:00,2026-03-31T22:07:33.9584000Z,APP_MOU,NCA_BUL,BallCalled,Undefined,NoShift,90.2934,71.62749,145.92318,45.21401,95.13102,-50.40747,149.99591,-25.27065,247.72987,-144.2465,324.4269,-18.96636,278.82443,134.21837,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,8,108f93e0-2d4e-11f1-8dae-b3d58bc9f52b,727fd23b-8529-40b4-81f3-2e4214344938,2026-03-31,18:07:52.98,2026-03-31,22:07:52.98,2026-03-31T18:07:52.9835008-04:00,2026-03-31T22:07:52.9835008Z,APP_MOU,NCA_BUL,BallCalled,Undefined,NoShift,90.4795,70.65219,145.85497,44.61466,86.46729,-46.0015,150.002,-25.79793,240.89404,-140.96635,322.72614,-18.73464,277.67825,135.54582,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,9,1b131350-2d4e-11f1-8dae-b3d58bc9f52b,d7f02c06-1e08-492f-a09e-905a4ee0174f,2026-03-31,18:08:10.63,2026-03-31,22:08:10.63,2026-03-31T18:08:10.6350080-04:00,2026-03-31T22:08:10.6350080Z,APP_MOU,NCA_BUL,BallCalled,Undefined,NoShift,89.34043,71.94188,146.30501,44.90856,95.75505,-54.48102,149.88092,-26.36453,245.17181,-145.34434,322.52667,-19.45052,278.93659,136.20971,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
197d7303-619e-4e4b-bd3f-ff73083c07c6,10,2d878070-2d4e-11f1-8dae-b3d58bc9f52b,9e1dfcc3-4be3-4989-a069-d09a33c42b25,2026-03-31,18:08:41.55,2026-03-31,22:08:41.55,2026-03-31T18:08:41.5507456-04:00,2026-03-31T22:08:41.5507456Z,APP_MOU,NCA_BUL,InPlay,Out,NoShift,67.68823,57.09463,133.40948,37.00875,82.51627,-58.04336,148.06377,-8.8862,245.3703,-142.93278,320.94047,-16.15336,277.82812,133.93716,"Puig, Ethan",813911,"Zamora, Joseph",1000128701,"Mummau, Jake",701417,"Xuereb, Jonathan",804436,"Soul, Nico",1000275968,"Evans, Charlie",813602,"Luft, Riley",1000102710,true
